match_id,competition_id
3879797,12
3879796,12
3879793,12
3879791,12
3879790,12
3879789,12
3879775,12
3879770,12
3879769,12
3879768,12
3879767,12
3879766,12
3879765,12
3879764,12
3879763,12
3879762,12
3879761,12
3879760,12
3879759,12
3879758,12
3879757,12
3879755,12
3879753,12
3879752,12
3879751,12
3879736,12
3879735,12
3879734,12
3879733,12
3879731,12
3879730,12
3879729,12
3879728,12
3879727,12
3879726,12
3879725,12
3879724,12
3879723,12
3879722,12
3879721,12
3879720,12
3879719,12
3879718,12
3879717,12
3879716,12
3879715,12
3879714,12
3879713,12
3879712,12
3879711,12
3879710,12
3879709,12
3879708,12
3879698,12
3879697,12
3879696,12
3879695,12
3879694,12
3879693,12
3879692,12
3879691,12
3879690,12
3879689,12
3879688,12
3879687,12
3879686,12
3879685,12
3879684,12
3879683,12
3879682,12
3879681,12
3879680,12
3879679,12
3879678,12
3879677,12
3879676,12
3879675,12
3879674,12
3879673,12
3879672,12
3879671,12
3879670,12
3879669,12
3879668,12
3879667,12
3879666,12
3879664,12
3879662,12
3879661,12
3879660,12
3879659,12
3879658,12
3879657,12
3879656,12
3879655,12
3879654,12
3879652,12
3879651,12
3879650,12
3879649,12
3879648,12
3879647,12
3879646,12
3879644,12
3879643,12
3879642,12
3879641,12
3879640,12
3879639,12
3879638,12
3879637,12
3879635,12
3879634,12
3879633,12
3879631,12
3879630,12
3879629,12
3879619,12
3879618,12
3879617,12
3879616,12
3879615,12
3879614,12
3879613,12
3879612,12
3879611,12
3879610,12
3879608,12
3879607,12
3879606,12
3879605,12
3879604,12
3879603,12
3879602,12
3879601,12
3879600,12
3879599,12
3879598,12
3879597,12
3879596,12
3879595,12
3879594,12
3879593,12
3879592,12
3879591,12
3879590,12
3879589,12
3879588,12
3879586,12
3879584,12
3879583,12
3879581,12
3879580,12
3879578,12
3879577,12
3879576,12
3879575,12
3879574,12
3879573,12
3879572,12
3879571,12
3879570,12
3879569,12
3879568,12
3879565,12
3879563,12
3879561,12
3879560,12
3879559,12
3879558,12
3879557,12
3879555,12
3879554,12
3879553,12
3879552,12
3879551,12
3879550,12
3879549,12
3879548,12
3879547,12
3879546,12
3879545,12
3879544,12
3879543,12
3879542,12
3879541,12
3879540,12
3879539,12
3879538,12
3879537,12
3878609,12
3878604,12
3878603,12
3878602,12
3878601,12
3878600,12
