5539,Carlos Henrique Casimiro,Casemiro
5552,Marcelo Vieira da Silva Júnior,Marcelo
5574,Toni Kroos,
5597,Keylor Navas Gamboa,Keylor Navas
5719,Marco Asensio Willemsen,
5721,Daniel Carvajal Ramos,Daniel Carvajal
6399,Gareth Frank Bale,Gareth Bale
6697,Daniel Ceballos Fernández,Dani Ceballos
6773,Federico Santiago Valverde Dipetta,Federico Valverde
18395,Vinícius José Paixão de Oliveira Júnior,Vinícius Júnior
18620,Sergio Reguilón Rodríguez,Sergio Reguilón
19677,Karim Benzema,
4346,Gilbert Gianelli Imbula Wanga,Giannelli Imbula
5521,Luis Jan Piers Advíncula Castrillón,Luis Advíncula
6652,Jordi Amat Maas,Jordi Amat
6914,Roberto Román Triguero,Tito
6924,Alejandro Gálvez Jimena,Alejandro Gálvez
7900,Tiago Manuel Dias Correia,Bebé
8512,Franco Matías Di Santo,Franco Di Santo
11535,José Ángel Pozo la Rosa,José Ángel Pozo
11537,Alberto García Cabrera,Alberto García
11538,Alejandro Moreno Lopera,Moreno Lopera
11539,Adrián Embarba Blázquez,Adri Embarba
11540,Óscar Guido Trejo,Óscar Trejo
12192,Álvaro García Rivera,Álvaro García
12194,Santiago Comesaña Veiga,Santi Comesaña
16209,Raúl de Tomás Gómez,Raúl de Tomás
17054,Emiliano Daniel Velázquez Maldonado,Emiliano Velázquez
21397,Stole Dimitrievski,
23488,Mario Suárez Mata,Mario Suárez
3990,Jesé Rodríguez Ruiz,Jesé
22235,Wilfrid Jaures Kaptoum,Wilfrid Kaptoum
22915,Diego Lainez Leyva,Diego Lainez
23522,Emerson Aparecido Leite de Souza Junior,Emerson Royal
6790,Mario Hermoso Canseco,Mario Hermoso
10323,Alfa Semedo Esteves,Alfa Semedo
22287,Adrià Giner Pedrosa,Adrià Pedrosa
22919,Lluís López Mármol,Lluís López
23343,Lei Wu,Wu Lei
3497,Vicente Iborra De La Fuente,Vicente Iborra
6827,Daniele Bonera,
24729,Xavier Quintillà Guasch,Xavi Quintillà
42275,Iván Martín Núñez,Iván Martín
3477,Álvaro Borja Morata Martín,Álvaro Morata
5249,Diego Roberto Godín Leal,Diego Godín
5259,José María Giménez de Vargas,José Giménez
6375,Juan Francisco Torres Belén,Juanfran
3508,Sandro Ramírez Castillo,Sandro Ramírez
6713,Diego Javier Llorente Ríos,Diego Llorente
6721,Willian José da Silva,Willian José
22321,Ander Barrenetxea Muguruza,Ander Barrenetxea
22452,Aihen Muñoz Capellán,Ahien Muñoz
6038,John Guidetti,
6604,Darko Brašanac,
6622,Tomás Pina Isla,Tomás Pina
6636,Rodrigo Ely,
6856,Carlos Martín Vigaray,Carlos Vigaray
6592,Rúben Miguel Nunes Vezo,Rúben Vezo
6675,Antonio Manuel Luna Rodríguez,Antonio Luna
6787,Pedro López Muñoz,Pedro López
11305,Raphael Dwamena,Raphael
17303,Nikola Vukčević,
11532,Jean-Clair Todibo,
24841,Ricard Puig Martí,Riqui Puig
24976,Abel Ruiz Ortega,Abel Ruiz
5693,Gaku Shibasaki,
6741,Ignasi Miquel i Pons,Ignasi Miquel
7104,Mathías Olivera Miramontes,Mathías Olivera
7621,Hugo Duro Perales,Hugo Duro
5674,Moussa Wagué,
25006,Carles Pérez Sayol,Carles Pérez
6707,Charles Días Barbosa de Oliveira,Charles
6778,Iván Ramis Barrios,Iván Ramis
6907,Pedro León Sánchez Gil,Pedro León
24948,Jordi Calavera Espinach,Jordi Calavera
3371,Mario Barwuah Balotelli,Mario Balotelli
4409,Wesley Sneijder,W. Sneijder
7146,Goran Pandev,
7914,Sulley Ali Muntari,Sulley Muntari
15777,Francesco Toldo,
17729,Cristian Eugen Chivu,Cristian Chivu
19284,Marco Materazzi,
19285,Dejan Stanković,
19287,Júlio César Soares de Espíndola,Júlio César
19292,Walter Adrián Samuel Luján,Wálter Samuel
19293,Javier Aldemar Zanetti,Javier Zanetti
19294,Diego Alberto Milito,Diego Milito
19298,Samuel Eto''o Fils,Samuel Eto'o
19299,Maicon Douglas Sisenando,Maicon
19300,Lucimar da Silva Ferreira,Lúcio
19301,Esteban Matías Cambiasso Delau,Esteban Cambiasso
26717,MacDonald Mariga Wanyama,
38392,Iván Ramiro Córdoba,Iván Córdoba
4628,Diego Armando Valentin Contento,Diego Contento
5562,Thomas Müller,
5565,Mario Gómez García,Mario Gómez
8218,Arjen Robben,
9406,Holger Badstuber,
12296,Michael Rensing,
13014,Anatoliy Tymoshchuk,
18414,Bastian Schweinsteiger,
19286,Miroslav Klose,
19288,Martín Gastón Demichelis,Martín Demichelis
19289,Ivica Olić,
19290,Hamit Altıntop,
19291,Hans-Jörg Butt,Hans Jörg Butt
19295,Philipp Lahm,
19296,Mark van Bommel,Mark van Bommel
19297,Daniel Van Buyten,
20088,Danijel Pranjić,
41001,Andreas Görlitz,
3058,Javier Hernández Balcázar,
3267,Luis Antonio Valencia Mosquera,Antonio Valencia
3538,Wayne Mark Rooney,Wayne Rooney
4022,Darren Fletcher,
4751,Michael Carrick,
8281,Luís Carlos Almeida da Cunha,Nani
10958,Chris Smalling,
15036,Edwin van der Sar,
15665,Michael Owen,
15666,Paul Scholes,
18239,Fábio Pereira da Silva,Fábio
20008,Patrice Evra,
20171,Rio Ferdinand,
20172,Nemanja Vidić,
20173,Ji-Sung Park,Park Ji-Sung
20175,Ryan Giggs,
38411,Anderson Luis de Abreu Oliveira,Anderson
40944,Tomasz Kuszczak,
3958,Pedro Eliezer Rodríguez Ledesma,Pedro
4324,Daniel Alves da Silva,Dani Alves
4891,Ibrahim Afellay,
4913,Bojan Krkíc Pérez,Bojan
5208,Thiago Alcântara do Nascimento,Thiago Alcântara
5216,Andrés Iniesta Luján,Andrés Iniesta
5506,Javier Alejandro Mascherano,Javier Mascherano
12737,David Villa Sánchez,David Villa
20125,Carles Puyol i Saforcada,Carles Puyol
20131,Xavier Hernández Creus,Xavi
20169,Seydou Kéita,Seydou Kéita
20176,Víctor Valdés Arribas,Víctor Valdés
20177,Eric-Sylvain Bilal Abidal,Éric Abidal
