match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week
3829427,2015-08-15,20:00:00.000,3,3,available,unscheduled,2023-08-01T16:36:38.805387,,2
3829426,2015-08-15,20:00:00.000,0,1,available,unscheduled,2023-07-25T08:16:42.304472,,2
3829425,2015-08-15,20:00:00.000,0,0,available,unscheduled,2023-07-31T15:03:03.592938,,2
3829424,2015-08-15,17:00:00.000,1,1,available,unscheduled,2023-07-27T20:51:31.585229,,2
3829423,2015-08-14,20:30:00.000,0,0,available,unscheduled,2023-07-25T08:14:47.555015,,2
3829422,2015-08-09,21:00:00.000,0,0,available,unscheduled,2023-07-25T07:02:45.240940,,1
3829421,2015-08-09,17:00:00.000,2,1,available,unscheduled,2023-07-25T08:13:48.921777,,1
3829420,2015-08-09,17:00:00.000,1,2,available,unscheduled,2023-07-25T08:12:49.672881,,1
3829419,2015-08-08,21:00:00.000,0,2,available,unscheduled,2023-08-01T22:11:16.865156,,1
3829418,2015-08-08,21:00:00.000,1,0,available,unscheduled,2023-08-03T11:52:42.299524,,1
3829417,2015-08-08,21:00:00.000,0,0,available,unscheduled,2023-08-02T08:29:19.171871,,1
3829415,2015-08-08,21:00:00.000,2,1,available,unscheduled,2023-07-24T08:09:15.020114,,1
3829414,2015-08-08,21:00:00.000,0,1,available,unscheduled,2023-07-29T15:27:36.777057,,1
3904629,2023-08-16,13:00:00.000,1,3,available,available,2023-08-30T11:15:11.306289,2023-08-30T11:17:47.551826,6
3906390,2023-08-20,13:00:00.000,1,0,available,available,2023-08-22T19:29:29.948278,2023-08-22T19:38:43.965521,7
3906389,2023-08-19,11:00:00.000,2,0,available,available,2023-08-29T21:16:28.091391,2023-08-29T21:19:57.035390,7
3904628,2023-08-15,11:00:00.000,2,1,available,available,2023-08-16T03:41:23.763496,2023-08-16T11:30:31.556462,6
3893806,2023-07-26,10:30:00.000,5,0,available,available,2023-08-15T02:56:48.548242,2023-08-15T02:58:57.266594,2
3893801,2023-07-24,14:00:00.000,4,0,available,available,2023-08-15T03:16:13.146076,2023-08-15T03:18:08.766850,1
3893797,2023-07-23,10:30:00.000,1,0,available,available,2023-08-15T02:38:46.816155,2023-08-15T02:40:19.749196,1
3893822,2023-07-31,10:00:00.000,4,0,available,available,2023-08-15T03:17:41.945052,2023-08-15T03:20:22.749909,3
3893814,2023-07-29,10:30:00.000,5,0,available,available,2023-08-15T02:40:01.211524,2023-08-15T02:40:42.886046,2
3893790,2023-07-21,05:30:00.000,0,0,available,available,2023-08-15T01:27:08.890984,2023-08-15T01:27:44.637065,1
3901832,2023-08-08,11:00:00.000,1,0,available,available,2023-08-29T20:40:05.907708,2023-08-29T20:47:22.698938,4
3902968,2023-08-12,10:00:00.000,0,0,available,available,2023-08-31T14:29:37.548707,2023-08-31T14:34:02.359150,5
3902967,2023-08-12,13:30:00.000,2,1,available,available,2023-08-31T18:32:04.562448,2023-08-31T18:33:33.643867,5
3901797,2023-08-06,12:00:00.000,0,0,available,available,2023-08-23T15:04:15.812989,2023-08-23T15:07:14.382077,4
3901796,2023-08-06,05:00:00.000,2,0,available,available,2023-08-07T07:10:53.729932,2023-08-07T21:56:45.627086,4
3902240,2023-08-11,04:00:00.000,2,1,available,available,2023-08-12T12:10:27.546657,2023-08-14T09:22:25.109084,5
3902239,2023-08-11,10:30:00.000,1,2,available,available,2023-08-27T02:34:02.478694,2023-08-27T02:35:10.998462,5
3893808,2023-07-27,04:00:00.000,1,1,available,available,2023-08-31T00:34:51.122643,2023-08-31T00:35:33.227438,2
3901833,2023-08-08,14:00:00.000,4,0,available,available,2023-08-28T17:32:49.075109,2023-08-28T17:41:16.682649,4
3893826,2023-08-01,10:00:00.000,0,0,available,available,2023-08-23T13:24:12.821540,2023-08-23T13:30:36.393730,3
3901736,2023-08-07,13:30:00.000,2,0,available,available,2023-09-01T11:56:14.824981,2023-09-01T11:58:41.158565,4
3901735,2023-08-07,10:30:00.000,0,0,available,available,2023-08-31T11:53:26.150883,2023-08-31T11:53:46.771314,4
3901734,2023-08-05,11:00:00.000,3,1,available,available,2023-08-31T19:51:51.315508,2023-08-31T19:53:48.540368,4
3901733,2023-08-05,08:00:00.000,1,5,available,available,2023-08-27T22:13:22.740950,2023-08-27T22:14:35.209354,4
3893823,2023-07-31,10:00:00.000,1,3,available,available,2023-08-21T13:22:23.108775,2023-08-21T13:33:01.795,3
3893811,2023-07-28,11:30:00.000,1,0,available,available,2023-08-13T20:58:07.431877,2023-08-13T21:04:12.717030,2
3893812,2023-07-28,03:00:00.000,2,2,available,available,2023-08-14T14:56:47.384447,2023-08-14T15:02:01.860096,2
